('Total Revenue', '221,192 ', '165,575 ', '55,392 ', '8,549 ', '-- ')
         667323 function calls (646641 primitive calls) in 5.605 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     86/5    0.000    0.000    0.167    0.033 <frozen importlib._bootstrap_external>:877(exec_module)
      288    0.000    0.000    0.000    0.000 element.py:2160(get)
      154    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
      436    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
  109/106    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
      127    0.000    0.000    0.000    0.000 sre_parse.py:85(opengroup)
      567    0.000    0.000    0.000    0.000 sre_parse.py:82(groups)
      198    0.000    0.000    0.000    0.000 types.py:176(__get__)
       15    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
      258    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
       84    0.000    0.000    0.000    0.000 css_parser.py:798(parse_combinator)
      133    0.000    0.000    0.000    0.000 {method 'rindex' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method '_wrap_socket' of '_ssl._SSLContext' objects}
      678    0.000    0.000    0.000    0.000 filter.py:259(_base_match)
        9    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
      273    0.000    0.000    0.000    0.000 css_parser.py:334(match)
      535    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:897(__exit__)
      595    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
      136    0.000    0.000    0.001    0.000 css_types.py:203(__init__)
      113    0.000    0.000    0.000    0.000 __init__.py:101(find_spec)
      266    0.000    0.000    0.105    0.000 re.py:249(compile)
       86    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:585(_classify_pyc)
      535    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:893(__enter__)
       40    0.000    0.000    0.002    0.000 typing.py:1138(__getitem__)
      252    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1356(_path_importer_cache)
       59    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
       52    0.000    0.000    0.000    0.000 functools.py:35(update_wrapper)
     87/1    0.000    0.000    5.605    5.605 {built-in method builtins.exec}
       12    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
     1630    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      296    0.000    0.000    0.000    0.000 filter.py:623(_match_attribute_value_helper)
       40    0.000    0.000    0.002    0.000 typing.py:483(Union)
       45    0.000    0.000    0.001    0.000 typing.py:1147(copy_with)
       69    0.000    0.000    0.000    0.000 css_types.py:251(__init__)
      257    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      113    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:198(cb)
      181    0.000    0.000    0.000    0.000 typing.py:1902(get_origin)
     1114    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      153    0.000    0.000    0.000    0.000 sre_parse.py:928(fix_flags)
      189    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
      308    0.000    0.000    0.000    0.000 css_parser.py:238(css_unescape)
       68    0.000    0.000    0.000    0.000 sre_parse.py:268(getuntil)
       60    0.000    0.000    0.004    0.000 _htmlparser.py:127(handle_startendtag)
      667    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
        1    0.000    0.000    0.001    0.001 constant.py:1(<module>)
        1    0.000    0.000    0.001    0.001 socket.py:768(close)
      306    0.000    0.000    0.000    0.000 sre_compile.py:619(isstring)
      306    0.000    0.000    0.000    0.000 enum.py:22(_is_dunder)
       88    0.000    0.000    0.000    0.000 ipaddress.py:1199(_parse_octet)
      261    0.000    0.000    0.000    0.000 enum.py:12(_is_descriptor)
       88    0.000    0.000    0.000    0.000 enum.py:980(__or__)
