('Total Revenue', '221,192 ', '165,575 ', '55,392 ', '8,549 ', '-- ')
         666983 function calls (646361 primitive calls) in 5.788 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       34    0.000    0.000    0.000    0.000 ipaddress.py:1616(_make_netmask)
       34    0.000    0.000    0.000    0.000 ipaddress.py:1636(_ip_int_from_string)
       34    0.000    0.000    0.000    0.000 ipaddress.py:1873(_split_scope_id)
       34    0.000    0.000    0.000    0.000 ipaddress.py:2223(__init__)
       34    0.000    0.000    0.000    0.000 typing_extensions.py:669(__hash__)
       31    0.000    0.000    0.000    0.000 ipaddress.py:1272(__init__)
       30    0.000    0.000    0.000    0.000 feedparser.py:78(readline)
       30    0.000    0.000    0.000    0.000 feedparser.py:128(__next__)
       29    0.000    0.000    0.000    0.000 __init__.py:680(<genexpr>)
       29    0.000    0.000    0.000    0.000 element.py:2173(get_attribute_list)
    28/27    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
       28    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
       28    0.000    0.000    0.000    0.000 typing_extensions.py:423(_is_dunder)
       28    0.000    0.000    0.000    0.000 typing_extensions.py:443(__setattr__)
    28/27    0.000    0.000    0.000    0.000 typing.py:1247(__hash__)
       28    0.000    0.000    0.001    0.000 abc.py:105(__new__)
       27    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       26    0.000    0.000    0.725    0.028 {method 'readline' of '_io.BufferedReader' objects}
       25    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
       25    0.000    0.000    0.000    0.000 {method 'popleft' of 'collections.deque' objects}
       25    0.000    0.000    0.000    0.000 ipaddress.py:415(_check_int_address)
       25    0.000    0.000    0.000    0.000 ipaddress.py:431(_ip_int_from_prefix)
       25    0.000    0.000    0.000    0.000 ipaddress.py:474(_prefix_from_prefix_string)
       25    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
       24    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
       24    0.000    0.000    0.000    0.000 message.py:479(set_raw)
       24    0.000    0.000    0.000    0.000 _policybase.py:301(header_source_parse)
       22    0.000    0.000    0.000    0.000 ipaddress.py:1173(_ip_int_from_string)
       22    0.000    0.000    0.000    0.000 util.py:16(lower)
       21    0.000    0.000    0.000    0.000 {method 'mro' of 'type' objects}
       21    0.000    0.000    0.000    0.000 ipaddress.py:1147(_make_netmask)
       21    0.000    0.000    0.000    0.000 ipaddress.py:1488(__init__)
       20    0.000    0.000    0.000    0.000 typing.py:380(__repr__)
       20    0.000    0.000    0.001    0.000 typing.py:523(Optional)
