('Total Revenue', '221,192 ', '165,575 ', '55,392 ', '8,549 ', '-- ')
         754041 function calls (729990 primitive calls) in 9.827 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      943    0.001    0.000    0.001    0.000 sre_parse.py:433(_uniq)
     2481    0.001    0.000    0.002    0.000 css_parser.py:307(match)
      256    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
     2742    0.001    0.000    0.001    0.000 _markupbase.py:36(getpos)
      135    0.001    0.000    0.003    0.000 typing.py:1016(__init__)
       63    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
     2566    0.001    0.000    0.001    0.000 parser.py:126(clear_cdata_mode)
     3304    0.000    0.000    0.004    0.000 {built-in method builtins.next}
    212/4    0.000    0.000    0.242    0.061 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
       37    0.000    0.000    0.008    0.000 response.py:122(decompress)
      191    0.000    0.000    0.068    0.000 sre_parse.py:944(parse)
      256    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:125(release)
     2309    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
     2984    0.000    0.000    0.000    0.000 element.py:2763(descendants)
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
      290    0.000    0.000    1.209    0.004 socket.py:691(readinto)
     3818    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
      270    0.000    0.000    0.001    0.000 sre_compile.py:435(_mk_bitmap)
      335    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:391(cached)
      943    0.000    0.000    0.000    0.000 {built-in method fromkeys}
      256    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:100(acquire)
      290    0.000    0.000    1.208    0.004 ssl.py:1292(recv_into)
      172    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
       18    0.000    0.000    0.525    0.029 __init__.py:1(<module>)
     4286    0.000    0.000    0.000    0.000 element.py:2219(__bool__)
      163    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
     2060    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
  735/678    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
      607    0.000    0.000    0.003    0.000 enum.py:359(__call__)
      326    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
     1130    0.000    0.000    0.001    0.000 typing.py:935(_is_dunder)
        9    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
     2637    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
      132    0.000    0.000    0.001    0.000 typing_extensions.py:2989(_collect_type_vars)
      406    0.000    0.000    0.000    0.000 socket.py:78(<lambda>)
      191    0.000    0.000    0.001    0.000 enum.py:986(__and__)
      136    0.000    0.000    0.000    0.000 css_parser.py:359(__init__)
      412    0.000    0.000    0.001    0.000 sre_parse.py:259(getwhile)
      163    0.000    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
      163    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
    163/4    0.000    0.000    0.241    0.060 <frozen importlib._bootstrap_external>:877(exec_module)
    67/36    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
       17    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
       10    0.000    0.000    0.001    0.000 enum.py:553(<listcomp>)
      833    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
     2808    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
     2853    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
     1411    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
        1    0.000    0.000    0.000    0.000 idnadata.py:1(<module>)
      191    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
  213/177    0.000    0.000    0.000    0.000 sre_compile.py:485(_get_literal_prefix)
      384    0.000    0.000    0.000    0.000 enum.py:470(__setattr__)
      191    0.000    0.000    0.039    0.000 sre_compile.py:622(_code)
      489    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
     1016    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:897(__exit__)
      290    0.000    0.000    1.208    0.004 ssl.py:1150(read)
      172    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      597    0.000    0.000    0.001    0.000 enum.py:678(__new__)
      132    0.000    0.000    0.000    0.000 typing_extensions.py:2954(_has_generic_or_protocol_as_origin)
  189/186    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
      130    0.000    0.000    0.002    0.000 _markupbase.py:165(parse_comment)
      210    0.000    0.000    0.001    0.000 __init__.py:101(find_spec)
